term,estimate,std_error,ci_lower_90,ci_upper_90,n_eff,Rhat
(Intercept),4.551172168811623,0.1141655317824686,4.367890206081172,4.742042152428006,4487,1.0000806282378905
age,-0.022992982230168952,0.0020707870387234725,-0.026532058414280604,-0.019769754480088556,3535,1.0001832227988903
scale(age_squared),0.09723524756425074,0.037050039194006415,0.039799756934625986,0.16086702806928932,3568,1.0001689945270607
lnWt,0.05439829454610667,0.006452023114479154,0.04388394128799665,0.06509750767271309,25696,0.9998350271680614
k6,-0.09134626626997497,0.0011871602436849223,-0.09327269856910404,-0.08937493795302034,27617,0.9997566319793548
sigma,0.9688642125189892,0.0032808899056689274,0.9635602585258761,0.9743151465776572,18596,0.9998802973774668
mean_PPD,3.6850635382654806,0.0066736779108706274,3.674015831990923,3.6960075610417644,11612,1.000053524201587
log-posterior,-58736.46743828725,6.374795110486762,-58747.25953969589,-58726.41611552309,2266,1.0016634378976124
