component,variance,pct_of_total,sd
cohort_4yr,0.0029070993621130754,0.2966318734944796,0.05391752370160443
period_4yr,0.00630639699350366,0.6434862115697377,0.0794128263790155
Residual,0.9708225759200679,99.05988191493577,0.9853032913372755
Total,0.9800360722756847,100,0.9899677127440494
