survey,variable,cohort_pct,period_pct,residual_pct
NHIS,SRH,0.3740103790674169,0.07095722320623662,99.55503239772636
NHIS,Education,0.9084044810757024,5.537814362598452,93.55378115632584
NHIS,K6,0.40182301774868473,0.2506446818194966,99.34753230043182
MEPS,SRH,1.3534512469211315,0.35884630475542634,98.28770244832344
MEPS,Education,7.526241992562831,0.7064537541619693,91.7673042532752
MEPS,K6,1.7810097430194678,1.045511492452824,97.17347876452772
GSS,Education,6.414688002661971,10.034511670376364,83.55080032696166
GSS,Happiness,0.05893110661285883,1.452724007527449,98.48834488585968
GSS,SRH,2.34642044484599,0.139630346081024,97.513949209073
