variable,n_surveys,mean_cohort_pct,sd_cohort_pct,mean_period_pct,sd_period_pct
Education,3,4.949778158766835,3.5437852601656314,5.426259929045595,4.665029412104117
Happiness,1,0.05893110661285883,NA,1.452724007527449,NA
K6,2,1.0914163803840762,0.9752322859614386,0.6480780871361602,0.5620557119389491
SRH,3,1.3579606902781796,0.9862127651808719,0.18981129134756233,0.15036165159272322
